	text	lang
4959		
4960	RT @NUnl: Geen treinverkeer Weert en Maarheze door botsing met voertuig: http://t.co/iTJQjYAsst	nl
4961	Ganhei no bingo da Jaqueline hoje.	pt
4962		
4963		
4964		
4965		
4966		
4967		
4968		
4969		
4970	""" لا تقهر احداً كي تسعد نفسگ
ولاتظلم نفسآ لتبرر اخطائگ
حاول دائماً ان تبني سعادتگ 
بعيداً عن اذية الناس
وبعيداً عن كسر القلوب"""	ar
4971	"RT @H_Almahmid: أيها الناس : إنّه لا خير في الصمت عن الحكم ، كما أنّه لا خير في القول بالجهل …

“علي بن أبي طالب (ع)”"	ar
4972	عن عائشة رضي الله عنها قالت سمعت النبي صلى الله عليه وسلم وهو مستند إلي يقول اللهم اغفر لي وارحمني وألحقني بالرفيق #Hadith #ﷺ	ar
4973	RT @OYESAM: Self-Leadership: 4 Steps To Leading Yourself Effectively Pt 2 - Sam Oye - You Can LEAD The FUTURE Now By... http://t.co/n0hUHlg…	en
4974		
4975	Leio comentários no meu facebook que ás vezes só me apetece dar um tiro 🔫🔪	pt
4976	RT @elcosodebieber: @Gravan0Ch4p4me2 sos retrasada de nacimiento porque parece, andate con chantel #MTVHottest Justin Bieber	es
4977	RT @yisucrist: no me he podido resistir xdddd http://t.co/3HmGxdl0Kn	es
4978	RT @IslamicTongue: Marriage is not easy, but with Allah's  help, it can be the best time ever. May Allah bless all couples and those who ar…	en
4979	RT @BenedicteCsne: Ça fait du bien de se retrouver 💚✌ http://t.co/elIiUcvp48	fr
4980	RT @060796s: จริงๆไม่เคยหยาบคายกับเมนเลยนะ แต่นี้อยากแดกกีฮยอนมากเลย 55555555555555 แม่งเอ้ย น่ารักเท่าโลก #กีฮยอนกินไม่ได้ก็จะกิน http://t…	th
4981	Ouais il est mignon, mais justement c'est chasse gardée, dégagez	fr
4982	"""Hayat sana güzel""deki 'san' olmak istiyorum."	tr
4983	RT @Tifficult_Love: 😭😭 #MSU19 😈 http://t.co/IjfLgZLCYV	und
4984	RT @SBTsc: O repórter Laércio Botega está acompanhando as manifestações em Criciúma, no Sul do Estado. http://t.co/Dx7mpvsPgw	pt
4985	oq eu faço dessa vida	pt
4986	Tam 16 sene olmuş daha dün gibi hatırlıyorum o günü 😔    #17Ağustos1999	tr
4987	قال النبى صلى الله عليه وسلم إني لأقوم في الصلاة أريد أن أطول فيها فأسمع بكاء الصبي فأتجوز في صلاتي كراهية أن أشق على أمه -- صحيح البخاري	ar
4988	Just not in the mood for anything. 😴	en
4989	RT @norm: Ask them to take it back. https://t.co/aeEQLJBTdv	en
4990	@Calijntje @FleurvanHaagen zet maar op, maar dan wel over je hele gezicht. Thanks!	nl
4991	اللّهُـمَّ عافِـني في بَدَنـي ، اللّهُـمَّ عافِـني في سَمْـعي ، اللّهُـمَّ عافِـني في بَصَـري ، لا إلهَ إلاّ أَنْـتَ http://t.co/aZwdnTpzVF	ar
4992	RT @BurakTurkiye: İsa yolgösterici insanların evlerinden ne biriktirdiği konusunda, ruh hallerine bakıp iyilik mi, yoksa kötülük mü birikti…	tr
4993	Descarga: @AntifekaBebo3 - #PalDeTrago | Aquí: http://t.co/Sy4DYQoplx @GravetiPr @AlexCantel09 Vía @PromoBoyz_	es
4994	@Altabtabie انت محد طلب رايك	ar
4995	I've collected 8,067 gold coins!  http://t.co/izCiSZm73r #android, #androidgames, #gameinsight	en
4996	RT @Aylenmendozac: Perdón. http://t.co/R86XesypMP	es
4997	RT @Endymion_kai: 150816 EXOluxion IN HK #EXO #KAI 프리뷰:: 0A0.....? (오늘도무덤을판다 http://t.co/HwKGoWtrAX	ko
4998	http://t.co/VqaIyvjYoG	und
4999	RT @CoronelGonorrea: Titulos http://t.co/aYPxNkBw8R	es
5000	RT @BurakTurkiye: İsa yolgösterici insanların evlerinden ne biriktirdiği konusunda, ruh hallerine bakıp iyilik mi, yoksa kötülük mü birikti…	tr
5001	@malenamale55 Degame en pass	en
5002	Help support us and the Mira Mesa Dance 2015 raise $5,000.00 at https://t.co/QIeqSfJ3G6	en
5003	Currently watching Tarzan #Monkeylife http://t.co/L2WyerCZ8H	en
5004	@bin_ghazay ياشباب ماعاد فيها اعتذار لاتصيرون مساكين الاعتذار ماينفع بشي مافي غير تاطون على رقبته او كل من سب قال ماعليش وراح كلن يسب ويعتذر	ar
5005	"@Joe_Sugg 
#GetWheresWallyOnCars http://t.co/mlJIixRwam"	und
5006		
5007	@thevampirednews no problem :)	en
5008		
5009		
5010		
5011	@icshion_bot 俺？俺は別にどうとも…	ja
5012	RT @_baileymorgan: selfie sunday?¿ http://t.co/EBCTuRcB4J	en
5013	"RT @LolitaDrugs: ""I heard some shit about you"" http://t.co/CtWfQRgadT"	en
5014	大行進が始まる前に山口？って人と少し夢精したけど、何を言っても、俺は関係者じゃないから分からない、そんなことは知らないとか言ってた。#出会い #婚活	ja
5015	RT @choccolatepfvr: #ChoiceActionMovieActor @RealPaulWalker http://t.co/NNAQiCcL7E	und
5016	【完全個室居酒屋】◆新宿駅徒歩1分☆◆オシャレな店内、壁一面に煌めく星空蛍光アート個室！ http://t.co/2LpcZX0v0W #新宿 #居酒屋 #個室 #完全個室	ja
5017	It's now theoretically possible for me to drive to blizzcon if I ever wanted. Aprx a 300 mile drive each way.	en
5018	RT @Iovefeelings: I wish you and I would start talking again.	en
5019	RT @flue_jump: 諒平くん…… http://t.co/nDRjahv4vA	ja
5020		
5021	شخص تحبّه يخلق سالفه من العدم بس علشان يسولف معاك نوع من أنواع السّعادة العظيمة ❤️	ar
5022	RT @a_albatterjee: أسأل الله العلي القدير ان يوفقنا ويسدد علمنا لتحقيق طموح جمهورنا الغالي وأن يجعلنا عند حسن ظنكم وأن يجعله موسما ناجحا كم…	ar
5023	RT @Saadalmarshod: #الياسمين#فله#264م  درج صاله البيع مليون و350الف مكتب رؤية الياسمين 0555257557 http://t.co/TQQVKSADO3	ar
5024	RT @mariobautista_: Que bonito que la gente se atreva a luchar por lo que quiere en la vida ☺️	es
5025	TYRE GRIP の TYRE GRIP [ タイヤグリップ ] スプレー式タイヤチェーン BGTG-1 [並行輸入品] [HTRC2.1] を Amazon でチェック！ http://t.co/9jdDTxgopv @さんから	ja
5026	RT @mariobautista_: Que bonito que la gente se atreva a luchar por lo que quiere en la vida ☺️	es
5027	173- #MTVSummerStar #MTVHottest Lady Gaga 🌲 Rihanna 🌲 Jessie J 🌲 Ariana Grande 🌲 Katy Perry	en
5028	@cabendish @nishikiqueen she lying, RUN, young one	en
5029	Nuevos seguidores: 1, unfollowers: 2 (23:15) #TuitUtil http://t.co/hQey8ViMet	es
5030	Hay que pasar por lo peor, para conseguir lo mejor.	es
5031	RT @eveintitres: Mi momento favorito en la vida. Winner hoonándonos. @WINNER_Arg #W1NNERVERSARY http://t.co/zyIgfvgsf2	es
5032	RT @LetrasIntensas: Cuando te vuelves frío las personas empiezan a valorar quien eras antes.	es
5033	RT @trxpit: daily thoughts http://t.co/ysMEwPlegK	en
5034	今日から２週間休み無しの日々が始まりだ(；´Д`）	ja
5035	نص أحلامنا أشخاص والنص التاني لقاهم	ar
5036	"RT @luvmy1D_5SOS: ""OGLĄDASZ #TeenChoiceAwards TYLKO DLA WYSTĘPU 5SOS?""

ja: http://t.co/ialD5dDkTI"	pl
5037	"RT @twitlongerlaur: ""the terminology that Dinah uses"" http://t.co/Bzk8amQjsT"	en
5038	@kyriemackey Dont lie to me.. we might be on our 5th fight	en
5039	I was bout to go to jail last night smh	en
5040	puntito	es
5041	"@NateNastya махааххаахахахахахахахахахахахах
бляяяяяяяяяяять"	ru
5042	RT @hey_hahahaha: Наша фотка в лучших публикациях первая👆🏼 #баловень http://t.co/YT1GvPyB70	ru
5043	@arianasgalore HOPE BABY	en
5044	New For LG Google Nexus 5 D820 D821 LCD Display + Touch Screen Replace Parts - Full read b… http://t.co/O1Z1Wjd0pd http://t.co/nTpq15Zkeg	en
5045	Tutte ste Madonne sul ruolo di Kovacic, è una mezz'ala basta!	it
5046		
5047		
5048		
5049		
5050		
5051		
5052	و أتمناك حُباً  لا يعقبه فقـد 💜	ar
5053	@null 46717090	und
5054	"""#HonestyHour"" shows up as trending topic in South Africa at rank 2"	en
5055	RT @cozyvibe: Can't wait until winter ❄️	en
5056	"@Harry_Styles 
I love  #DragMeDown' 
&amp; I can't wait for the new album to release!! 
Would you please follow me? All the love :D xx
36,202"	en
5057	"@CandA4869 

あま～〜〜💓
おはありでやんす٩(ˊᗜˋ*)و"	ja
5058	RT @WAB_93: صور من مباراة الاتحاد و احد . . http://t.co/sumVghYq3n	ar
5059	@merro_am طلعت تغريدتج بسمار دكين على الوتر الحساس 😅😁	ar
5060	RT @omar_mohamed21: Nefsy a3ady keda w wahda tekhbatni w twa2a3li kotobi w nenzel nelemaha w nbos le ba3d w n-fall in love 😂	ht
5061	"RT @RedCrypted: Xbox One Giveaway!
RETWEET
Follow me &amp; @spydergameshop
Turn on notifications
Show proof
Giveaway ends @ 300 RTs http://t.co…"	en
5062	RT @ClybouwFleur: En het verlangen naar de spaghetti-avond is zo groot	nl
5063	Flight got delayed 😩 but whatever at least I'm not in Jersey sooner lol	en
5064	久しぶりにMDR-EX110使ったんだけどなんやこのゴミ…	ja
5065	RT @___15Dan: -نكتب ونمسح ، والسبب شعور الخوف من ردة الفعل..	ar
5066	Odeio que me interpretem mal	pt
5067	h #MTVHottest Justin Bieber	en
5068	@null Hari ini hari Senin,Tanggal 17 Bulan Agustus Tahun 2015 Jam 04:41:46	in
5069	"ﺇﻥ ﺣﻈﻲ ﻛﺪﻗﻴﻖ ﻓﻮﻕ ﺷﻮﻙ ﻧﺜﺮﻭﻩ
ﺛﻢ ﻗﺎﻟﻮﺍ ﻟﺤﻔﺎﺓ ﻳﻮﻡ ﺭﻳﺢ ﺃﺟﻤﻌﻮﻩ
ﺻﻌﺐ ﺍﻷﻣﺮ ﻋﻠﻴﻬﻢ، ﺛﻢ ﻓﻘﺎﻟﻮﺍ، ﺃﺗﺮﻛﻮﻩ
ﺇﻥ ﻣﻦ ﺃﺷﻘﺎﻩ ﺭﺑﻲ، ﻛﻴﻒ ﺃﻧﺘﻢ ﺗﺴﻌﺪﻭﻩ
أدريس محمد جماع"	ar
5070	@Nuevaexperisex te quedo hermoso el bronciado de tus bubis	es
5071	Good job @mattkenseth !!!!	en
5072	RT @Cawnas: Tarde una hora en conocerte y solo un día para enamorarme	es
5073	@bkrx (三'ω`)ฅel skaiさん　おはようございますにゃぁ	ja
5074	El aumento de tareas escolares contribuiría al estrés familiar: Un estudio asegura que los niños de escuela pr... http://t.co/g7dkpy1mkc	es
5075	@Sensative_ED I was just Longboarding. Hahaha	en
5076	@Sexymaracucho_ que es la verga jakakskd callate la jeta.	it
5077	@Overtunist_Crbn min gk jadi ngumumin?	in
5078	"Sometimes, all it takes is a nudge in the right direction. Watch as Thomas get another shot at becoming a pro.
https://t.co/3w2y565Mp2"	en
5079	"RT @lmpuIsive: ""Are you ready for school?"" 
https://t.co/11zN2ufWX0"	en
5080	"RT @xharrycovert: rt si regarde une de ces séries: 
tvd
tw
ahs
oitnb
the 100
pll
sense8
twd
orphan black
skin
gossip girl #SériephileFriend…"	fr
5081	"RT @Brasil_de_Fato: ""Não vai ter golpe"", gritam militantes de sindicatos e movimentos em frente ao Instituto Lula http://t.co/HwXOCJ2kk6"	pt
5082	La @udechile rindiendo homenaje a @pelotazo en este partido.	es
5083	I Do Not Want To Go Back To Work 🙌🏽	en
5084	Acabei de descobrir todos os usuários do 60 Twitter que não me seguem de volta, graças a http://t.co/7WMKi1fmFQ #androidapp	pt
5085	RAFAEL TA ACABANDO COM A MINHA SANIDADE, MEU DEUS #MPN #RAFAELVITTI	pt
5086	RT @StandUpShot: http://t.co/Mi6QXBbuym	und
5087	"RT @ALDWEESHKw: ٦ أشهر رهن الإعتقال دون حكمٍ قضائي على تغريدات !!

#كفى_ظلما_لعبدالرحمن_العجمي http://t.co/JNB9NhMDiV"	ar
5088	RT @tweetIikeapizza: surround yourself with pizza not negativity	en
5089	@milliemouse171 @Clorissaa much love 💗💜👻	en
5090	@Ennodewitt of, tja, misschien ook wel niet.	nl
5091	3 days ago these two wouldn't even go near each other, now they're BFF's! 🐱🐱👯👯Love my Natasha &amp;… https://t.co/WuuDrwWalT	en
5092	Windows 10の配色を“クールなブラック”にする方法 ～ストアや設定がホワイトからブラックに #microsoft http://t.co/wNwAlWc745 #mieexpert15	ja
5093	"47

#MTVHottest Lana del Rey 🐧 Britney Spears 🐧 Iggy Azalea  \o"	en
5094	@zaynmalikrain é incondicional, você tem a forma exata pra me prender em voce e e e	pt
5095	Absolute domination by @mattkenseth and the 20 team today. Nice job!	en
5096	@aysee_ozgur tabiki haklıyım 😒	tr
5097	That's right: @BarackObama is on #Spotify http://t.co/9mjKZvLH4v http://t.co/nNAeUStwW9	en
5098		
5099		
5100		
5101		
5102	雨やば	ja
5103	fgvhbn #PSYKontra	pt
5104	RT @marcus_pestana: Quem quiser sustentar DILMA e Renan recomendo: não assista a este belo vídeo feito em Brasília http://t.co/ziVM5hczU9	pt
5105	all the rest of my crimes don't come close to the look on your face when i let you go. #wheredobrokenheartsgo	en
5106	"RT @Shgran333: سبحان الله والحمد لله والله أكبر
♻️ http://t.co/VDD752lAQR"	ar
5107	"RT @sione_lui: My mom's rules for me and dating = DONT 😯

My mom's rules for my sisters dating = Sure Why Not 😤"	en
5108	Ok so I love Tasha and Tommy now	en
5109	RT @WeddingsJust4u: #Wedding #Bridal 2015 Sweetheart Backless Mermaid Wedding Dress Bridal Gown Custom Size 2 4 6 8+ http://t.co/stxoQWqFl2…	en
5110	RT @KOPIBURI_bot: ノイトラ：余談だが、血を吸うのはセックスが終わったメスの蚊だけ。オスと喪女の蚊は花の蜜を吸ってる。つまりお前を刺した蚊はリア充ということでうおおおお潰せえええええええ！！！！！ひゃおおおおおおお！！！！ブッ潰せえええええええ！！！！！！！！ひ…	ja
5111	Se nos dieron un par de resultadosss	es
5112	"RT @MohamedSamyMax: اكتر حاجه مقتنع بيها ف الدنيا دي كلمة "" لعله خير """	ar
5113	RT @UTRGVTFN: Our first planning meeting as #UTRGV in Edinburg! #WeReadyWeComing #RGV http://t.co/0YhV8gmJ7N	en
5114	Ganyan talaga some will hate you at kung sino ang nasa pinaka itaas yun ang pilit ibababa, what's new? #PSYKontra	tl
5115	WHY hasn't anyone picked up Yuru Yuri for the physical release for the UK. Would buy that in a heartbeat.	en
5116	RT @fatoom802: نطالب وزارة المياه بتبريد المواصير ياخي احترقنا 🔥	ar
5117	Broken Neck Prank &amp; Going Home! https://t.co/v0kUtjRT6G #myfavoritevlog is the one when you say smile more so all of them SMILE MORE	en
5118	if u ain't doin shit for me, I'm done doing favors for people son.	en
5119	Isso é que é abertura de copa do mundo!! Kkkkkkk #carnacoxinha http://t.co/O1ltTMNPg1	pt
5120	Not sure i'm ready for Wine Tasting 😩	en
5121	"RT @SheikMilGrau_: ""MULAMBO ME DIZ COMO SE SENTE"".

Eu me sinto na sua frente com 10 pontos de diferença e 3 rebaixamentos a menos."	pt
5122	RT @justinbieber: #12Days http://t.co/c22j9WtMgK	und
5123	movie date Monday w @xotaylorjo  and our sisters how cute 💖👯👯	en
5124	RT @ElSaltoAvanza: ¡Un éxito la Expo Car 2015! Gracias a todos. @HellenIPR @RicardoMCorral @MexicoAvanzaDgo http://t.co/WgujzVzitO	es
5125	@roogomes precisando e eu puder ajudar, to aqui :)	pt
5126	…（鼻血ドバドバ） http://t.co/0QqVAufLzu	ja
5127	Uma casa que gira em função do Sol para dele tirar o maior proveito, cujo espaço interior se adapta às... http://t.co/yKWNZChqr5	pt
5128	Funeral in the morning, followed by a close at work. Fuck sake.	en
5129	RT @sayingsforgirls: *sees dog at a party* oh it's lit	en
5130	@AllAboutIthaca @MarinaSponga I turned on fb and are over the page of the photographer Louise DeStefano, it views them	en
5131	When you rob a VAMPIRE! w/ @KingBach, @McPhonz #SeeYallNiggazTonight (Vine by @DeStorm) https://t.co/kQf2WDHffN	en
5132	Guys, @WeeklyChris posted a new video cover yesterday, go watch 😍 don't forget to liked and subs 💛 #ChristianCover http://t.co/7cXpTeBK2j	en
5133	RT @LMDFoot_: La célébration de Matuidi #MatuidiCharo http://t.co/8d473OcUlg	fr
5134	http://t.co/yYwAP0srk4	und
5135		
5136	"RT @biebersmaniabr: Yeshuathegudwin via IG: “A vida é muito mais fácil quando você ama o que faz”
#MTVHottest Justin Bieber http://t.co/plv…"	pt
5137	End of the 3rd qtr, the Bulldogs take the lead 34-31.  Tune into the final qtr at http://t.co/Bt1nQoZEhs	en
5138		
5139	@bsiilva827 😍❤❤❤	und
5140	RT @ibiebersxdick: dijieron que Justin no iba a los tca's así que no vale verlos, solo estaré aca esperando a que el gane #MTVHottest Justi…	es
5141		
5142		
5143	"映像電伝虫を発見！！ 
【オハラの悪魔】ニコ・ロビンの激写に成功しました！ＣＰ９に捕えられ、投獄間近のようです…！http://t.co/08vq8E92Eq　#トレクル http://t.co/T5gbfNvucR"	ja
5144		
5145		
5146	Save optimum headlight remedy dallas: zhWQr	en
5147	たくさん見せたくなるのは、 自分に自信がないときです。 [出典:ひとつ上のプレゼン 児島令子]	ja
5148	Anyone active for a Shawn Mendes solo dm? -megan💕	en
5149	RT @BestProFlT: Fitness is like a marriage. You can't cheat and expect it to work.	en
5150	RT @raeen201392: جازان   استشهاد 12 جندي من جنودنا تم استهدافهم بصاروخ اثناء انتقالهم لتعزيز احد المواقع وهناك جرحاء لانعلم كم العدد	ar
5151	RT @LuisitoComunica: Ver el reflejo en el espejo rompió mi corazón 💔 #JuanpaNoEstáDesnudo #TrailerOficialCDE @ElJuanpaZurita http://t.co/Ye…	es
5152	@N1h11 مرحلة وتعدي بس تخلصين	ar
5153	"@a_albatterjee 

هاتو راعي فخم بجانب القطرية 💚

شعار #الاهلي غالي ويستاهل 💚"	ar
5154	RT @wby8u5z649xs: 新幹線の車掌が「みなさまお疲れのところ大変恐縮ですが、ご乗車のお客様の中には明日から大型連休になる方もおられる関係で本日はいつも以上に車内が大変こみあっており、御迷惑を…」と乗客同士の仲間割れを引き起こそうとしている。この車掌さん連休中はずっ…	ja
5155	True friends are always there for you. Fake friends only appear when they want something from you.	en
5156	Tengo ganas de contestar y mandarte a cagar. Pero sería un testamento de puteadas	es
5157	"RT @Lilaclxrry: HIS REACTION IS SO CUTE😩 ""YOURE EVIL!"" #MTVHottest One Direction  https://t.co/ads6ivWEKG"	en
5158	#Singaparna Kenapa Soros Lepas Sahamnya di Alibaba?  http://t.co/MaCHjqTdW3	in
5159	RT @LuaBieber94: @biebersmaniabr #MTVHottest Justin Bieber	en
5160	RT @FASTFURlOUS8: Retweet if you're ready http://t.co/2xihQYKstT	en
5161	El aumento de tareas escolares contribuiría al estrés familiar: Un estudio asegura que los niños de escuela pr... http://t.co/pS499J85Lr	es
5162	RT @vickyBeanMr: Darkskin niggas fearless these days man. This nigga really squared up to a dinosaur https://t.co/vEvMXVFAvw	en
5163	RT @CraziestSex: Literally 😂 http://t.co/T3JuRLD4lR	en
5164	RT @onIinebaddies: http://t.co/iyiXN1kO4v	und
5165	Fuera cara o fuera cruz ganabas como quieras	es
5166	"雨だから送ってこうと私を呼んだらしい
じゃあ家の中にいるときにそれをいえばよかったじゃない"	ja
5167	"RT @GABT_XxX: #xXx #SEX #PORN

@PRGirls__ @GreatAssBigT @GreatAssBigTits @GABTTeenSelfies @GABTFamousGirls http://t.co/dSWOIPYLht"	und
5168	"RT @BraNNueLife: The worst pain next to child birth😂😂
RT

Get 2 of my FREE Hip Hop Singles when u signup @ http://t.co/FMIBjCURwT http://t.…"	en
5169	A🙋 quién🙋 no🙋 le🙋 dieron🙋 regalo 🙋 por🙋 el🙋 día🙋 del🙋 niño🙋 porque🙋 ya🙋 está🙋 grande?🙋	es
5170	RT @ruanoliveira: 🌞🌞🌞 http://t.co/6ZRBxnPD9z http://t.co/XY2nj2rSXg	und
5171	"RT @Anasomnia: -Feminismo y comunismo son lo mismo. Fíjate, en la escuela de Frankfurt se instauró el marxismo cult--
- http://t.co/5AmZTJz…"	es
5172	@rabello_lu pra recooooomeçar 💚💚💚💚	pt
5173	RT @trvisXX: SEPT 4 THE KIDS WIN. !!	en
5174	Ole ole (@ Pa'Asarla Bien) https://t.co/ecTJCV2aKy	es
5175	@MiguelVale5 cala. a. boca.	es
5176	@Vaanityxo si	und
5177	@mingo_1 Genocidio a la venezolana por José Domingo Blanco http://t.co/Fx4Xz9hV4a	es
5178	RT @trouxavcs: quando eu não tenho o q twittar fico dando rt em tudo que as pessoas falam por mim obrigada escravos	pt
5179	1 http://t.co/lVdEoqPdE5	und
5180	@victoriainspace Oh, the humanity! Would our offer make your day a little brighter? http://t.co/pzqNHw52VG http://t.co/cklSrpnQuQ	en
5181	"""Hallo, Liebling! Soll ich dem eine reinhauen?""
*umarmt mich und schaut böse den Typen an*"	de
5182	CARS : http://t.co/Z7uvn4UDru #Deals #502 FRONT + REAR Drilled Slotted Brake Rotors And Ceramic Pads Acura CL Acc… http://t.co/IZN5AM8TAY	en
5183	The right to be heard does not automatically include the right to be taken seriously.	en
5184	"RT @news_benfica: TUDO A SALTAR
TUDO A SALTAR
TUDO A SALTAR"	pt
5185	@all1dcrew TYSM ARIA, 300 FOLLOWERZZZZ GAINED !!! 😍🎉💖	en
5186	Bir mucize olsun. 🙏🏻	tr
5187		
5188		
5189		
5190		
5191		
5192		
5193		
5194	I haven't even been cleaning my room for 30 min and I already want to take a nap	en
5195	@Njooud_1 شسمه	ar
5196	"RT @Akhbaar24: فيديو للمقاومة اليمنية من داخل قصر المخلوع صالح بمدينة تعز
 http://t.co/WS4uwpjtCG http://t.co/8LREbVGvoS"	ar
5197	RT @Drakee_YMCMB: Dear past: Thank you for all the lessons. Dear future: I'm ready.	en
5198	Followback МИД РФ: статья Устава ООН о самообороне применима в киберпространстве: Группа экспертов Об... http://t.co/jDHHjeo4vl #IFollow	ru
5199	RT @MesutMagic11: Bae @MesutOzil1088 http://t.co/oDu0m0mbc8	und
5200	Quilombo...#petronio https://t.co/qfuBWXsi4j	es
5201	こいつはオレがつぶすぅ！！！	ja
5202	[Must Read] Four P’s of breastfeeding: BREASTFEEDING could be one of the most demanding but exci... http://t.co/55LRuSM9i5 via @suweinfo	en
5203	"RT @OneDrecti0nFans: Drag Me Down music video is going to look like this #DragMeDownDay  Lol!

#MTVHottest One Direction http://t.co/w6qyeH…"	en
5204	"Randy Savage / ランディ・サベージ
#レスラー名鑑bot http://t.co/k8pwggBhJU"	ja
5205	오랜만에 6시에 일어나니 상쾌하고 좋다. 물론 오랜만에.내일부턴 이 상쾌함은 어디가고 졸림이라는 졸라 좆같은 느낌만 졸라 좆같이 가득하겠지.	ko
5206	RT @shereenjenkins: When you're trynna tell her about yourself 😈 http://t.co/w6VG5jvzc4	en
5207	@denkansen3rd 僕に乗ってどこか行かないかい？	ja
5208	the twitter user you have reached is currently not givin a shit, please try again never.	en
5209	Куриные биточки с яйцом Ингредиенты: Грудка куриная (от...	ru
5210	hii @Harry_Styles, thank you for making this world such a lovely place, you deserve everything great! Mind following me? Love you ♡ x126,443	en
5211	Braun's Grand Slam Ties Yount, Brewers Top Phillies 6-1 http://t.co/lDdr6m1EVF liveleakfun → http://t.co/IONWArVRFy	en
5212	Me lloran un ojo y el alma.	es
5213	@JeffGordonWeb @EddieDHondt what the hell! Get it together. Geez	en
5214	急げっ	ja
5215	@_lxna___ salgo ahora	es
5216	"RT @twistedpalo: Se puede dar ASCO siendo clasista, dar asco siendo taurino.
Y luego está lo de Savater  http://t.co/ZnA6URvOAa vía @DMarzal"	es
5217	RT @lesleymuniz__: i need a nap	en
5218	@InfernalWiresRP // Hello, can I audition for Angie Martinelli please?	en
5219	RT @FillMeWithBread: @Queen_PrettyP @__iammariah I always say that she will be alright 😂	en
5220	RT @NWAHSWAR: highest form of art: girls	en
5221	http://t.co/wIfieBSSGk	und
5222	@kayphillips556 thank you so much 🌹🌹🌹	en
5223	I think it's safe to say I'll probably be single for the rest of my life now :')	en
5224		
5225	RT @reIatabIe: fuck a double text i’ll quad text u think i care buzz buzz it’s me again ho	en
5226	RT @textposts: Know me first, judge me later 🙌	en
5227	RT @addictof1d: how do you caption this https://t.co/4aDD34mqCR	en
5228	http://t.co/bBE32O9LUF	und
5229	RT @TeamSynergy_: FOLLOWING 25 WHO LIKE https://t.co/GzaiHvHXzn FAV WHEN DONE	en
5230	"RT @Romin_Power: Chávez se postuló moribundo para dejarnos este adefesio y terminar de destruirnos. Pero no, la culpa es del que emigra.Fr…"	es
5231	Does anyone have a link for the tcas and can you please tell me what time it starts http://t.co/NEqoY9BRGY	en
5232	RT @DailyLoud: Man Kodak Black is 17 putting out straight hits. Remember the name #SKRILLA	en
5233		
5234		
5235		
5236		
5237		
5238		
5239	@_GS1905_____ sence, her mevkiye hayvan gibi para döken bir takımın stoper ve bek almaması kimin suçu?	tr
5240	"RT @kdjlnmi: 元A●Bのとも●んも愛用❤

本気で痩せるために
コレを選んで大正解！

たった1粒飲んだだけで
みるみる痩せて超焦ったw

⇒http://t.co/MOIMnkOyd4

これからはオシャレに
もっと磨きをかけたいな✨ http://t.co/7s…"	ja
5241	@EROCKhd Itll probably sit and collect dust like my ps3 but I gotta have it!	en
5242	@kguzzy1511 yes yes!!!!!	en
5243	RT @FiveLungro: @BackSide6 @0NSNsVjQvJUQ6lf @micelle79 @brunettelorena @Pornogram_ @DrRichardRotten @18_HOT_18 @GIF_HOT @DrRXM @VxExx http:…	und
5244	Los domingos se hicieron para hundirse en la cama.	es
5245	Cheap Tickets One Direction Ticket Lincoln Financial Field Philadelphia 09/01/15 FLOOR SEAT!:  $103.50 (7 Bids... http://t.co/1Io8UaZ9j6	en
5246	RT @gercek_kinik: #KürtlerTakipleşiyor dediler geldik . ma ne olmiş ezji kurmancım:)	tr
5247	http://t.co/35EfomAr62	und
5248	RT @jk_rowling: Happy Birthday and many, many, many happy returns to perennial source of love and light @Evy_Lynch! xxxxx http://t.co/AYcCI…	en
5249	RT @msleamichele: Getting ready for @TeenChoiceFOX now! Glam time w/ @melaniemakeup @jennahipp @hairbyjohnd &amp; @mrbradgoreski 💕💛	en
5250	RT @CraziestSex: Literally 😂 http://t.co/T3JuRLD4lR	en
5251	RT @baran1974: Takipte  olalım, destek olalım, daha güçlü örgütlenelim #KürtlerTakipleşiyor	tr
5252	"#استغفر_الله_العظيم
http://t.co/HqngvOXugH"	und
5253	RT @zaynsbaea: @IrenzSmilesNJH Male Hottest, sofferenza fisica	it
5254	"RT @azadi_kurdi: Ne mutlu ""KÜRDÜM""diyene ✌💚❤💛 #KürtlerTakipleşiyor"	tr
5255	"RT @sacredzjm: HARRY LOVES AND CARES ABOUT HIS FANS SO MUCH

HOW CAN YOU NOT LOVE HIM 

 http://t.co/QwhdcnGAq5"	en
5256	she sexx-cee asf 😩😍💦 https://t.co/h0gSgNLZSf	ht
5257	@elcaejmulac me	und
5258	wow thx for making me feel SO much better :)))	en
5259	Photo: greyannis: I wanted to do an anime-esque action animation, so here’s Pearl from Steven Universe... http://t.co/jhMR2SHPNy	en
5260	null http://t.co/DYIGOW4tZ0	sv
5261	Disturbed /,,/,	en
5262	janitors be like... http://t.co/jWCyeIOro3	en
5263	How to Repair Scribbled Car Paint?...lEgNv	en
5264	"【拡散】「原爆は東京湾に投下されるべきだった！」
http://t.co/8aaCsVqkzu
このいちろー @softbank_ichiro の発言をどう思いますか！？
http://t.co/JQwzFK1ym2
#SoftBank #福井 @masason"	ja
5265	RT @livfernandezzz: ain't lettin it phase me	en
5266	eu só quero saber se o clipe e a música vão ser colocados na vevo e no itunes, receptivamente	pt
5267	Y de su falso malandreo sáquense el chip	es
